german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Aber eigentlich bin ich heute hier, um eine Geschichte zu erzählen. ",Une histoire en partie autobiographique. ,"Aber eigentlich binw ich heute hier, um ine Geschichte zu erzählvn. ",Aber eigentlich bhnoqinh heute hier um eine Geschichte zu erzählent ,Aber eigentlich win ich heute hierm um eine lGerisscichte zug erzählen. ,Uoe histoire en parti autobiographique. ,Une histoire en parsie aiutobiofraphique. ,Uane histoivre en partie ajoniographique. 
"Teilweise ist sie eine persönliche Geschichte. Als Chris mich bat, diesen Vortrag zu halten sagte er, die Menschen würden in mir eine Art Rätsel sehen und wollten mehr über meinen inneren Antrieb wissen. ","Une histoire en partie autobiographique. Quand Chris m ’ a invité à venir vous parler, il m ’ a dit que les gens me voyaient un peu comme une énigme et voulaient savoir ce qui me motivait au fonds. ","Teilweise ist sie eine persönliche Geschichte. Als Chris mich bat, diesen Vortragk zu haltn sagte er, die Menschen würden in mir eineArt Rätsyel syhen unzd cwollten mehr über mqinen innekren Antrie wissen. ","weilweiqe wist sqie eine persönliche Geschichte. Als Chris mich bat, ijesen Vobrtragmu halten sagte e, ie Menschen würden in rr eine At Rtselsehen und wollten mehr über meinen innren Anrieb wmissen. ","Telweise istqsie eine persönlixcsgeGeschxchte. Alshris mich bat, dimsen Vortrhg zu haltn sagte r, yie Menschen würdunv in miyr mie Ant ätel sehen und woleten mehr über meinen inneren Antrieb wisse. ","Unqe hstoire en partie autobiographique. Quazd Chris m ’ a invcté à tvenir vous parler, il um ’ at cit que les gens me voyaient un peu comme une énigme et voulaient savoir ce qui me motivait hau fonds. ","Une histoire e partie autsobiograhiqnue Quand Chlis m z’ a invitéu à venir voqus palfler, il m ’ a dit que les gensj me voyaient un peu commeune énigme et voulaient savoir cequi me motivwt au fonds. ","Unehptoire en prti autobiograhihue. uandh hryiv m ’ a invité à gvenir vos paler, il  ’ a dit que les gens e voyarent nun peu commex une énigme et voulaient savosidr ceqfi medmotivait au fondswz"
"Was mich wirklich antreibt, ist eine Zukunftsvision die wir, wie ich glaube, alle teilen. ","Ce qui me motive, c ’ est une vision du futur que, je pense, nous partageons tous un peu. ","Ws mich wirklich antreibt, ist eine Zukunftsvision die wir, wie ich glabe, alleiteilend ","Wlas mich wirkilich antreibt, ist eine Zukunfsvision die wgir, ie ichglaube, ale teilen. ","Wms mich wirklics cntreibt,gpisz ebne Zukunftosvpion die wir, wie ich glaohbe, alle teilen.","Cel qui me motive, c ’ est une vision du futur que, je pense, nous patageons htous u peu. ","Ce qui be otivep cl ’ esit une uvision u fuur que, je pense, nous pnartageons tous un peu. ","Ce qi me sotive,z c ’ est une viiondu futr qe, je pense, xnous partaglrns tous un peu. "
Eine Welt des Friedens und Wohlstands und der Nachhaltigkeit. ,"C ’ est un monde de paix, de prospérité et de développement durable. ",Eine Welt des Friedets ud Wohlstands und der Naghhaltigkeit. ,Eine Wltdes Friedens nund Wohlstand bund der Napchhaltigkeit. ,Eine Weglt des Friedens und nWpohlstandcsd und der Nahhaltiogkeit.b,"C q’ est un monde de caix, de prospéité et de développement durable. ","C ’ est unb monde da paix, de prospéritépetde développemnp durable. ","C ’ estgun nmonde de paix, de pxospéxrjhké et de dévelppement durbbole. "
"Während der letzten Tage haben wir viele Vorträge gesehen, z. B. Ed Wilson und James Nachtweys Bilder. Ich glaube, uns wurde dabei klar, wie weit der Weg zu dieser neuen Form der Menschheit noch ist. Ich möchte sie """" Menschheit 2.0 """" nennen. Was uns ebenfalls alle bewegt, ist die Beendigung der, wie ich denke, zwei größten Missstände der heutigen Zeit. ",". Et après tout ce que nous avons entendu, pendant ces deux jours de présentation, Ed Wilson et les photos de James Nachtwey, pense que nous prenons tous conscience de la distance qu ’ il nous reste à parcourir pour atteindre cette humanité que j ’ aime appeler « Humanité 2.0 ». Et nous portons en nous ce qui nous permettra de mettre fin aux deux grandes calamités de ce monde actuel. ","Während der letzten Tage haben wir veele Vocrträge gesehen, z. B. EdmWilson und JamesNachtwes Bolder. Ich glub, uns wure dabei klalr, wie weit der Weg zyu dieser neuen Form der censchhenit noch ist. Ich möchte sie """" Menschheit 2.0 """" nennen. Was uns ebenfalls alle bewegt, ist die Beendigung der, wie ich denken,tzei gröten Missstände der heutigen Zeit. ","Während dr lezten Tage abenwir viee Vorträgev gesehen, zv x. Ed Wilson und James Nachtweys Biader. Ichglaube, upns zurde daei klar,f wie weit deor Weg zu dieser neuen Form dcr Menschhceit noch haet. Ichs möchte sie """" Menschheitf2.0 """" nennen. Waes ufns ebenfalles alle beweglt, ist die Beendigung tr, we ich denkeh, zwi größten Missstnde der leuuigen Zepit. ","Während dr lbetzten Tagle haben wir viemle zrträgce gebehsdx, z.j B. Ed Wilsonb urn JamesNachtweys Bilde. Ich glaube, uns ywurde danei kla, wivwweit der Wg zu dieser ceuenForm der Menschceipt ncoc ist.c ac zmöchte nie """" Menschheit 2.0 """" nennen. Was uxs hbenfalls alle bewegt, ist dice Benigug der, wie icy denke, zwei grbößten Misstäqnde dsheutlgen Zeit. ",". Et après tout ce quee nufs avons entendu, pendant ces qdeux jours deprésentation, Ed Wlson et les photos de James Nachtwey, pense que nous prenons tous fconscience dm la distance q ’ il nousgreste à parcourir pour ateindre cette humanyté qu j ’ aime appeler « Humanité 2.0 ». Et nus poron en nous ce qui nous permlttra de mettre fzin aux deux graqndes calamités de ce monde actuel. ",". Et après tou che que nouvs avons egnendu, pendant ces deux jocrs de présetatwion, Ed Wilson ee les prhotzhs e wJames Nachtwey, pense jue nouspkenons tous consience dy la distnce qu ’ il nous reste à parcourir pour atteindre cette humanité sque j ’eraimeaappeler « Humanitéz z ». E nousvportonl enknous ce qbu nxous permvttra de mettr fin aux deux grandes calamités de ce monde avctuel. ",". Es après tot ce quenous asvons entedug, puendant ces deuxx jjour de présfnaabin,EdrWilson et let photofns dfe James Nachtwy, psense que nous pregnons ous conscipence de la distancenqu ’oil unobs cestmf à parcourir pour tteindre cette humbanit qcuje j ’ anime dappelen « Humanwté 2.0 ». Et nousrwtrons en nous ce qinou fpermettrdaj de mettre fin aux qdeuxt grandes calamxités de ce monde antuel. "
"Das sind erstens ungleiche Chancen, eine Kluft, die Präsident Clinton gestern Abend als ungleichmäßig, unfair und unhaltbar bezeichnete. Sie führt zu Armut, Analphabetismus und Krankheit und all den Übeln, die wir um uns herum sehen können. ","Le premier est le fossé de perspectives, ce gap que le Président Clinton a qualifié hier soir de « inégal, injuste et non durable » et qui entraîne pauvreté, analphabétisme et maladie et tous ces maux que nous voyons autour de nous. ","ras sind erstens ungleichj Chancen, eine rluft, die Präident Chlinton gestern Abend als ungleichmäßig, unfair vnd unhaltbarbezeichnete. Sie führt zu Armut, Analphabetismus undrKrankhit und all den Übel, due wir um uns herum isehen können. ","Das sind erstens ungleiche Caancei,eine Kluft, die Präsiden Clnton gestern Abhnd aqs ungleilchmäßigcy unfair unmvunhatbar bezeichnkt. uSie führt zubrmut,Analphabetismus und Krankheit und all den Übmln, die wir um uns herum seheen önnen. ","assin ersten ungleihe Chmancen, eince Kluft, diePäsidegnnt Clinaton gestezn Abend alslungleichmäßig,unfair undyunhaltbar bezeihnecte. Sienführt zu Armujo, Anqalphdbeismus und Krankheot undb ll den Üeln,kdie wir um uns herumnsehen vnnen. ","Le premier est le fossé de perspectives, ce ga que le Président Clinton a qlifié nhier soir de « inégal, injuste et nrodgn durable» et qui entrsaîne pauvreté, analphabétisme et maladie et tois ces maux que nous vyons autour de nous. ","Le premier estle fqssé de erspectvjvs, ce gap que lenPqpsident Cinton a qualifié hier soir mde « inégal, injste et non durable » etn qui endtaîne pauvreté, aalphabéisme eto malade et tous cesu mvaux quew nous voyons autour de nous. ","Lep bremikea est le fyssé de persectives, ce gapque lj Préiwwrt Clinon a qualifié hier soir de « inégaq, finjuste et zon durable » et qui entraîe lpuhvreté anaphabéttsme tlt maodii ets tos ces maux qute nous voyons autohur de nous. "
Aber die noch größere Kluft könnte die Kluft in der Hoffnung sein. ,Mais peut-être l ’ autre mal crucial est ce que j ’ appellerai le fossé de l ’ espoir. ,Aber die noch größere Klluft könnte de Kluft in der Hffnung sein. ,Axber die noch größere Kluft ksömnte die Kluft i de Hoffgnung sein. ,Aber de noch größejrefKluft könntv die Kluxtb in de Hoffnung seein. ,Mais peut-être el ’ autre mal crucial est cefque j h appellerai se fossé de l ’ espoir. ,Maispeut-tre l c’ axztresmal crucial est ce que j ’ appellerai le fossé qe l ’jespoir. ,Mais pejut-être l x’yarq mal crucial estv ce ques ju ’ apfewlerai le fossé dem l ’ spoir. 
"Irgendwer hatte einmal diese schlimme Vorstellung, dass ein durchschnittlicher Mensch keinen Unterschied auf der Welt bewirken könne. ",Un jour quelqu ’ un a eu cette mauvaise idée qu ’ un individu ordinaire ne pouvait pas faire une différence dans ce monde. ,"Irgefwer hatte einmal diese sichlimme Vorstellung, dass ein durchschnittlicher Mensch keinen Unerschiedoauf der Welt bewirken könne. ","rgendwer hatte eimnmal diese schlimme Vorstejlungr,zdass ein durhschnittlicher Mensch keinen tnteerschied puf dr elt bewiken könne. ","Irvgenidwer hatte einmal diesescchlime Vrstellung, dass eun ddrchschnittlichertMensch keienUnterschix auk der felt bwrken kövnnne. ",Un jour quelou ’ un a eu cette mauvaise idée qu a un individpiu ordinaire n pouvit pas faire une différence dans ce monde. ,Un jmor quelqu ’ unq a eu cette mauvaise idée qu ’ un indiviwdu ordinaire ne pouvaut pas fazire une diffxhence dans ce monde.ea ,Un jourp quelqu ’ un a es qetg mauvaime edée qu ’i un individu ordinaire nj pouvaimt zpas fairem une cfférence duagun ce monde. 
"Ich denke, das ist einfach ein schrecklicher Gedanke. ",Et je pense que c ’ est une idée abominable. ,"Ich denke, das ist einfach ein schreacklichpr Gedanke. ","Ich denke, das ist einbfach ein ichrecklicher Geanhke.s","Ich ldene, das it einfachjein schrvcklichr Gedabkve. ",Et je pense quec ’ est une idée abominabole. ,Et je sense qu c ’ ejst une idée aboiminable. ,Et je ptnse qke c ’ est ne idée abpominadle. 
"Und damit beginnt das erste Kapitel tatsächlich heute mit uns allen, weil in jedem von uns die Kraft steckt, die Unterschiede bezüglich Chancen und Hoffnung auszugleichen. ","Aussi, le Chapitre Un commence vraiment aujourd ’ hui, avec nous tous, car nous avons en chacun de nous le pouvoir d ’ égaliser ces fossés de perspectives et de niveler les fossés d ’ espoir. ","Ud damit begingnt dpas erste Kapitel tatsächlich heuyte emiit uns allen, weil in jedem von uns die Kraft steckt,m die Unterschiede bezüglich Chhancen und Hoffnung auszugleichen. ","Und dami beginnt dasi erste Kjpitel ptatsähifih heune mit uns allen, weilk i jedem von uns de Kraft steckt, di Unterschiede bezüglich Chancn and ofnung auszugleichen. ",Und dawmit beginnt das easte japiteol tatsäncdhlich heute mit unus allenq weil in xjedem von uns de rft stecktfdif Unterschhee bezüglixch hatcen undu Hoffnungzausszugleiche.,"Aussi, le Chaypitre Un commence vraiment aujourd ’ hui,t avc nous tous, car nous avons en chacun de nous le puvoirld c égalisbr ces fossés de perspectivesxet de liveler les fossés d ’ espoir. ","Aussi le Chapitre Un comence craiment aujord c’ hui, avecynous tous, car nous avons enzchdcun de nouls le poavor d ’ égalzser ces fossés de perspectivesm dfe niveler les fossés d ’ espdr. ","Ausi, le Chapwre Un commenaje vraiment arourd jauhuy, avec nous toous, car nou avons on chacun de nous lt pouvoi   égwliser ces fosséesede persdecltives xt de niveler les fossésd ’ spoir. "
"Und wenn nicht die Männer und Frauen von TED einen Unterschied in der Welt ausmachen können, wer dann? ","Et si les hommes et femmes de TED ne peuvent pas amener de changements sur cette terre, qui le peut ? ne peuvent pas amener de changements sur cette terre, qui le peut. ","Und wenn nicoht die Männer und Frauen von TED eineln Unterschied in der Welt ausmchen könnew,n wer dann? ","Und wenn nichtpdie Mnner uud Frfauen von TED kinen Unterscaied in derWelt aulmchen können, ber dann? ","Undtwenn nicht die äwnnerundl Fraken vonoED eiehnw Uterschied in der Welt azusjmacfhen können, wer dann? ","Et si ljes hommes et femes de TED ne peuvent pas amenr de changements sur cette terre,qui le peut? neopeuvent pas amener de changements ssur cette terre, qui le peut. ","Eh si les homme et feme de TE de peuvent pas amener d changements sur cetxte terr, qui e peut  nep peuvent pas amener derchangementrs sur cette terre, qui l peut. ","Et si les hommes et femmeskde TED ne pqauvenv paj amenyeo dde chanvqemnts sur cettv terre, qdui le peu ? ne peuvewt pas amenerlechangements iur cette atere quib le peut. "
"Für mich begann vieles, als ich noch jünger war und meine Familie regelmäßig zum Camping ins New Yorker Hinterland fuhr. ","Pour moi, cela a surtout commencé dans ma jeunesse, lorsque nous allions en famille camper dans l ’ état de New York. ","Für mich zbegannuvieles, als ich noch jünger war und meine Familie regelmäßig zum Campicn ins New Yorker Hictrland fuhr. ","Für dmch begakn viels, als ich noch jünger ar unmejne Familie jregeltmäßig zum Camping ins mew Yorker Hinterland fuhr.z ","zür mich btgangnlvieyes,g als ich noch jünger wa und meinwe Famili regläßi zum Campiqng ina New Yorker Hiterlanw fuhr. ","Pour moi, celp a surtout commencé dans ma jeunesxe, lorsmque nous allionsen famille camper dans l ’ état de bNew York. ","Por moi, cela a suftout commencé dans ma jeunesse, lorsquepnous allions en fxamllie cgmper dzans  ’ état de Neb York. ","Pour moi,cpla a surtout commencé dans za xeunesse, lornyque eo allions en fjamille camper dans lk’état de NewkYojok. "
"Im Sommer war dort nicht viel zu tun, außer von meiner Schwester Prügel zu bekommen oder Bücher zu lesen. ","Il n ’ y avait vraiment pas grand chose à faire pendant l ’ été là-bas, à part me faire taper dessus par ma sœur et lire. ","Im Sommer war dort nicht viel zu tun, außer vmn meinerSchwester Prügel zudbekommen oder Bvcher zu lelen. ","Im Sommer war dort nzicft viel zu tun, baujßer von meinery Schwesterq Prügel zumbwekommen oder Bücherd jzu lesen. ",Im Sommher warxdort nihte hviel zu tunaußer vogn meier Schgester rügel zu bekocmen oder Bücer zu lesen. ,"Il n ’ y avayt vraiment pas grand chose à fare pendant l ’ été là-bas,  pard e faire taper dessus par m sœur et lire. ","Il n ’ y avait vraimmevt vpas grand cose à faire pndant l ’ té le-ybai, à part me favire taper dessus oar ma sœur ewt lire. ","Il n e’ yavah vraiment pasfgrand chose à faize pendnt l ’ qté là-bas, àprt me faire tacper resss ar ngmav sœur xet lire. "
"Und so kam es, dass ich Autoren wie James Michener, James Clavell und Ayn Rand las. ","Aussi, je me suis mis à lire des auteurs comme James Michener, James Clavell et Ayn Rand. ","Und soukam es, dasslich Autoreng wiej James Michener, James Clavell und Ayn Rand las. ","Und so kam es, dassnich Autohen wie James Michiner,n Jwames Clavelfl und Ayn Rand las. ","Und so kamves, dass ich Avuabtoren iea Jams Michenert, JameseClavell und Ayn Randolas. ","Aussi, je me suids mis à lire des auteurs comme James Michener, James Clnavell et Ayn wRand.g ","Aussi,je mc suio mis à lre des auteurs cmme James Michenerr, James Clavll et Ayn land. ","Aussmi, je re suis miss à lmre des auwelurs cojme James Micheiner, Jamesn Claell et Ayn Rnd "
Ihre Geschichten ließen die Welt wie einen sehr kleinen und vernetzten Ort aussehen. ,Et leurs histoires m ’ ont donné l ’ impression d ’ un monde tout petit et très interconnecté. ,Ihre Geschicshten ließen die Welt wie einen sehrr kleinen und vernetzten Ort ausehen. ,zIhrheGescdichten ließemn die Wilt wie einen sehrvkleineg und vernetzten Ort aussehen. ,Ike Geschichten lieen miel Welt wie inen sehr kleinen und verneven Or ausewen. ,Et leurs histoires m ’ ont onné l ’ impressin d ’ un mlde tout petit et très interconnecté. ,E leurs hiustoires m’r ont donné l ’ impresesion p ’ un monde tout petit et tpès intercnnefté. ,gEt leursd hitoireus m ’ont donnf  ’ imprsion   un monde tout ptitaet très interconnecté. 
"Und ich dachte, wenn ich Bücher schreiben könnte, in denen diese Welt klein und vernetzt war, könnte ich vielleicht Menschen für die Probleme, die uns alle betreffen, interessieren und sie vielleicht sogar dazu bewegen, die Welt zu verbessern. ","Et je me suis dis que, en ecrivant des histoires de ce monde petit et interconnecté je pourrais peut-être faire réfléchir les gens sur des problèmes universels. Et les inciter à faire une différence. ","Und ich dachte, wenn ich Bücher rschreuben könnte, in denen dinese Wlt klein uvnd vernetzt war, könnte ich viellzicht Mnschen fü die Probleme, dieuns alle betreffen, interessieren und sie viellwicht sogar dazu bewegenm die Welt zu verbessern. ","Und ich dachte,wenn ech Bücher schreiben könnte, in deen iee Welt kldwin upd velrnetzt wpar, körnte ch vieelleicht Menschn für die Prableme, die uns alle sbetrefpen, intemressieren unasie vielleicht sogar dazu beegek, die nWelt zu vrbessern. ","Und ich dacte, swwnn ich Bücher schreiben könntr, zn denen didse Welyt klein und vernetzw war, köeente ich txbiellniwsht Menscen für dje Pbobleme, ddyieuns alle betreffen,interessiexen und sieln vijlleiht ogar dazu bewegen, die Welt zo vterbesstrn.p","Et je me suis dis quei, en ecrivant des histoixs de ce monde petit ev mnterconnecté je pourrais peut-êre faire réfléchir les gens sur ses problèmes uliversels. Et les inciter à fasre une différence. ","Et je me suis dis que, en ecrivaynv des hstoires de ce monde petit ek iunterconnecté je pourdrais pert-être faire réfléchirsles geps sur des prfoblèmes universelsj Et les inciter j faire eune différene. ",Et je me suis dis que eunecivwnt es histoies de ce monde pjtit tt intercnnecté je pourrais epet-êtro faipjrbfléchbir lhes gaens ur des problèmes univshrsyels. Et le incter à fvireq une ifférence. 
"Ich glaubte nicht, dass das unbedingt die beste Art wäre, mein Geld zu verdienen. Also beschloss ich, nach finanzieller Unabhängigkeit zu streben, damit ich möglichst bald mit dem Geschichtenschreiben anfangen konnte. ","Je savais bien que ce ne serait pas le meilleur moyen de subvenir à mes besoins, donc j ’ ai décidé de choisir une voie financièrement plus fiable, pour me permettre de pouvoir écrire ces histoires au plus vite. ","Ich glaubte nicht, dassdas unbedingts die bete Art wäre, min Geld zau verdienen. Also beschlosx ich, nach finanzieller Unabhängigkeit zu streben, damit ich mögaichst bald mit demcpeschichtenschreibenanfangen konnte. ","Ich glaubrte niqeht, dass d nbedingt die beste Art wäre, meiGeld zu verdienen. Also beschloss ich, nach finanzievler fnafbhängigkit zu streben, amitmich mögglichst bald mit dbem Geschicyenschreiben annfangen konntec.c","xIch dglaubte bnicht, dsass das dnbedingts die bhste rtwäre, mxin Gell zuverdienzen lso beschloss ich, nnach inauzieller Unabfhzngigkeit z strebenc, damit ich mögdlichst bald mitcdex Gescaiwchenschreiben anfangen konnte. ","Je savais bien que ce ne serait pas lemeilleur moen de subvknir à mes besoins, donc jc’ aiqdécidé de choisir une voie financièrement plus fiable,pour mo permettre de pouvoir écrire ceu hisctoires aa plus vite. ","Jke savai bien qux cew ne serait pas le meileur moyen de subenir à msw besoins, donc j ’gai décidé dechoisir une voi inanciaèrenent plusj fiable, pour me dpermettre de pouvwoir écrird ces histires au plues vite. ","Je savaisbien que ce ne serait ppas le meilleur moyn de ssubveni à mex besfjinsh, dyncg j ’ i décidé de shoisir une voiefyinancièpegent lus feable, pour fme peemettre dew pouvoir crire ces histis au pslus vdte."
Mit 14 wurde ich wach gerüttelt. ,"Mais à 14 ans, un événement chamboula un peu mes beaux rêves. ",Mit 14 wurde ich wach gerzüttelt. ,Mitj 14 wurde ich wach gehrüdttelt. ,Mi 14e wurde ich wach gelüttelt ,"Mais à 14 ans, upm événement chamboula un peu mes benaux rêves. ","Maqis à 14 ans,un événement chambtula un peu mefs beaux rwêves. ","Mais à14 as, un événement chamboula ubipeu els beaux oêves. "
"Eines Tages kam mein Vater nach Hause und teilte uns mit, dass er Krebs hatte und es ziemlich schlecht aussah. ",Mon père rentre un soir en nous annonçant qu ’ il a un cancer avec un mauvais pronostic. ,"Eines Tages kam mein Vater nach Hause und teilte uns miq, vass er Krbbs httez und es ziemlich schlecht aussah. ",Eines Tahgs kam mein Vatar nach Hae und teiljte uns mim dassh er Krebs hatte und es ziemlich schlechtn aussvh. ,"Eines ages kam mheifn Vateur tnach Hause und tkeilte uns mipt, das er Krebs hatfte nd eg ziemlhich schlcxt assah. ",Mon père rentre un soir ten nous annonçxant qu ’ fil a un cancer afec un mauvais pronostic. ,Monpère rentre ufn soir en nos annonçant qu ’ gl a uy cancer avec uno mcauvais pronostic. ,Mon père rentre u sir en nous sannonçant qu ’ lil a un cance ave u mauvaioronosetic. 
"Er sagte, dass er nicht vor dem Sterben große Angst hätte, sondern davor, dass er mit seinem Leben nicht das getan hätte, was er ursprünglich wollte. ","Et il conclut qu ’ il n ’ avait pas vraiment peur de la mort, mais de ne pas avoir le temps d ’ accomplir tout ce qu ’ il voulait accomplir. ","Er sagte, kassrer nicht vorodemjSterben große Angst hätte, sondernk davor, dass er mit seinem Leben nicht das getan hätte, was kr ursprünglih wollte. ","Erd sagte, dass ernicht vor demh Sterben große Angst hätte, sondexrn davog, dams ea mit seinem Leben nlicht das geban hätte, wuas r ursprtnglich wofjllte. ","Er agtei ass err nicht vorzem Stervegogirloße Angst häte, bsonderny eavor, dass r mkt sinem Leben nicht dan gtan häntte, was er ursprünglich woblte. ","Et il conclut qu ’ il n ’ avit pas vrfamennt ppeur de la mort, mais de ne pas avoirole temps d ’ accomplir tout ce qu ’ il vkulait accomplir. ","Etil conlut qxu k il n’ zsvait pas vraient pteur de la mort, mais hden neapa avoir le temps d ’ acwcomplir tout ce qu ’ il voulait accomplir. ","Etil osclut qu ’ ilr n ’ avait pas wvraiment ppuryde la mort,l maisu de ngm wa avor le temps d ’ acccmplir tout ce qu ’nil voulaiqt accomplir.m"
"Zum Glück lebt er heute, viele Jahre später, noch. ","Et, je touche du bois, il est encore vivant à ce jour, des années plus tard. ","Zum Glück let er heute, viele Jahre später,lnoch. ","Zum Glük lebtemr heute, viele yahre später, ntoch. ","ZumGlck lebt ergheutj, viele Jahre späteqr, noch. ","Et je touche du bois, il est encore vidant à ce journ, des années plus tard. ","Et, je toucne du bois, il est enceore vivant à ce jour,jdes annéesplus tamrdi. ","Em, je ouche du bolis, il est encore vvan àhe jonr,sdes gnnéesb plus tard. "
"Aber als junger Mann hat mich der Gedanke, dass keiner weiß, wieviel Zeit ihm noch bleibt, stark geprägt. ","Mais pour un jeune de mon âge, cela m ’ a laissé une marque profonde : on ne sait jamais combien de temps il nous reste à vivre. ","Aber als junger Mann hat mich dhr Gdedankt dass keiner weiß, wdeviel Zeit ihm noch bleibt, stark geprägt. ","Aber ls junger Muann hat mich der Gedanke, dyass keier weiß, wievielqZeithihe noch bleibt, starkagepät. ","Aber als hjungsr Mann hato mich der gieankt, dass pkeinr weiß, wivielk eit hm noch bleit, stark gefprägt. ","Mis pour un jeune de mon âge, cela m ’ a laissé une marnqueprofonde : onfne sait jamais combien de temps il nou reste à ivre. ","Maishpour un jeune de yon âge, la m ’ a mlaisséu une iarque pofonde x on nesait jamais combien de temps il nosu reste à vivre. ","Mais ptour uqjeunme de mon ege,j cela m ’ap laissé une marua spvofonde : ontne site jlmais combien de mtemps il nqus reste à vivre. "
Also musste ich mich beeilen. Ich studierte Ingenieurswissenschaften. ,Alors je me suis mis à courir. J ’ ai fait des études d ’ ingénieur. ,Also musste ich mtich beueilen.k Ich studierte Ingenieurswissenschaften. ,Also musste pch mich beeilen Ich studire Ingenieursissenschaftten.,Also musrse ich bich beeilen. Icj stwdierte Iksgeneurswissenshxaften. ,Alors je ye suis mis à courir. J ’ ai fait des études d ’ ingénieur.,Aeosg je me suis mis à courir. J ’ ai fait desb tudes d ’ ingénieur ,Alors je me suis miis à lourirndh J n’ ai fait des étudespd ’ringfnsieur. 
"Ich startete ein paar Unternehmen, von denen ich glaubte, sie wären das Ticket zur finanziellen Freiheit. ",J ’ ai démarré quelques entreprises qui me semblaient être les clés de l ’ indépendance financière. ,"Ich startete ein paar Unternehmen, von denen ich glaubte, sie wären das Tickeimyt zur finanzielleng Freiheit. ","Ichbstarttete ei paar Unternehmen, vobn dene icuh glraubte,ssie wären das Tickept zur fimnanziellen Freiheit. ","Ichi startete env par Untenehmen, von dnen ich glaube, ieären dasTicketk zur finanziellen Freihet. ",J ’ i démarré quelques entreprises qui me semblaent être lesk clés de l ’indépendance financière. ,J ’ ai démaré quelfqzues entvreprinses qul me semblaientsêtre les clés de l ’ ndépendance financwère. ,J w’ i démarré queles entreprises qbi meysemblarent tre lexs clés de l q ixndéendance financièree. 
"Eines davon war ein Computerverleihgeschäft mit dem Namen Micros on the Move ("""" Mikros unterwegs """"). Dieser Name passte hervorragend, da die Computer des öfteren geklaut wurden. ","Une de ces idées consistait à prêter des ordinateurs, sous le nom de « Micros on the Move », ce qui était très bien choisi puisque les ordinateurs n ’ arrêtaient pas de se faire voler. ","Eines davon war ein omputerjverleihleschäft mit dem Namyn Micros on the Movue ("""" Mikros unterwegs """"). ieer Name passte hervorragend, da die Computer des öftern geklaut wurden.","Eineswdavon wyari in Computerverleihgeschäxft mit dem zamen Micross on them Move("""" Mikros unserwegs """"). Dieser Namje passtemhervoragend, da die Computer hes öfrfteen gekaut wurden. ","Eines qavvx eqyr ein Computerverleiageschät mit dtem men vMicrys on tvme Move ("""" Mikros unterwegs f""""). Dieser Nafe passce aeurvorragend a die Compufter xes öfteren gweklaut muden. ","Une de ces idées consistait à mprêster des ordinateurs, sous le nom de « Micros on the Move », ce qui était rès yien cdoisi puisque lesordinateurs n y’ arrêtaient pas de se faire voler. ","Une de rces idées cuonsistaixt à pruter des ordinazeurs, ouk le fom de « Micros on the oMove », ce qui étxit tnrès be choili puisque les ordinateuri n ’ darrêtaient pasb de sefaire voler. ","Une de ces edée consistaot à bprêter des odinateurs, sos lce nmede «l Micros on the Move »u, ce qui étit très binphoisi puisquelves orlddnateurs  e arrêtaient paabde se aere ponler. "
"(Lachen) Also dachte ich, ich sollte mehr über Betriebswirtschaft lernen, weshalb ich ein Studium an der Stanford Business School begann. ","(Rires) Donc, j ’ ai conclu que je devais apprendre un petit peu plus en gestion d ’ entreprises et je suis allé étudier à la Stanford Business School. ","(Lfachen) Also dachterich, ich sollte mehr über Bmetriebsirtschaft lernen, weshabb ich ein Studium an der Stanford Business Sochool begann. ","(Lachen) Also dachte ich, ich sollte nmehe xberBetrdfbswirtschat lernen, wesshalb ich ein Sthdium an der Stanfowrd Business Schol bepnn. ","(Lachenj Alsoo dchte ch, ich sollte mehr üuber Betriebwirtschaf lernen,e weshalb ichwein Studiu an dem Sanfoid Bousnndeass School begann. ","(Rires) Donc, j l’ ai conclu qun je devais apprendre un petit peu plus en gesktio zd ’ entreprises et je suis hallé éjtudier à la Stanford Business School. ","(Riwroes) dDonc, jx ’ ai honclu qpe je devais apprendrea un peutit peu plus en gestion d ’ edntreprisesdet je suis allé étdier à la Stanford Businesss School. ","(Rres)uDonc, j ’ ai coonclu que ebdevais aprendre nun pertzt peu glus en gesationpd ’ entfrepriles et pe suis allé étudiek àolac Stanford Businss Schoml. "
